Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total,Sales Revenue,Order ID,Year,Day,Month,Age-Group
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2024-03-20,Standard,"Accessory,Accessory,Accessory",40.21,5578.54,1,2024,Wednesday,March,36-55
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,2024-04-20,Overnight,Impulse Item,26.09,767.1800000000001,2,2024,Saturday,April,36-55
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-10-17,Express,,0.0,1855.84,3,2023,Tuesday,October,36-55
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2024-08-09,Overnight,"Impulse Item,Impulse Item",60.16,3224.92,4,2024,Friday,August,36-55
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-21,Express,Accessory,35.56,77.06,5,2024,Tuesday,May,56-75
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,2024-05-26,Standard,"Impulse Item,Accessory",65.78,148.78,6,2024,Sunday,May,36-55
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,2024-01-30,Overnight,,0.0,7603.47,7,2024,Tuesday,January,18-35
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2024-06-24,Overnight,"Extended Warranty,Extended Warranty",75.33,4250.97,8,2024,Monday,June,18-35
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,2023-10-03,Standard,Impulse Item,43.05,5581.38,9,2023,Tuesday,October,18-35
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-01-01,Express,,0.0,4175.64,10,2024,Monday,January,18-35
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,2024-06-25,Overnight,"Impulse Item,Accessory,Impulse Item",90.38,2560.6800000000003,11,2024,Tuesday,June,18-35
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,2023-11-07,Overnight,"Accessory,Extended Warranty",55.48,7176.19,12,2023,Tuesday,November,18-35
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-09-25,Express,"Extended Warranty,Impulse Item,Extended Warranty",65.85,3445.17,13,2023,Monday,September,56-75
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,2024-07-07,Standard,"Accessory,Accessory,Accessory",70.17,7982.07,14,2024,Sunday,July,56-75
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,2024-03-18,Overnight,"Accessory,Impulse Item,Accessory",57.81,5596.14,15,2024,Monday,March,36-55
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,2024-01-02,Standard,"Extended Warranty,Extended Warranty",69.31,5138.29,16,2024,Tuesday,January,56-75
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,2024-05-18,Standard,Accessory,8.3,4755.4400000000005,17,2024,Saturday,May,56-75
1015,22,Male,No,Smartphone,SKU1001,5,Completed,Paypal,83.0,20.75,4,2024-09-02,Standard,"Accessory,Accessory,Accessory",80.0,163.0,18,2024,Monday,September,18-35
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,103.75,20.75,5,2024-07-07,Overnight,,0.0,103.75,19,2024,Sunday,July,56-75
1018,34,Male,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,2024-07-23,Express,"Impulse Item,Extended Warranty",70.39,194.89,20,2024,Tuesday,July,18-35
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83.0,20.75,4,2024-03-14,Express,,0.0,83.0,21,2024,Thursday,March,36-55
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,2024-04-20,Express,"Impulse Item,Impulse Item",37.87,1025.99,22,2024,Saturday,April,36-55
